mR,mG,mB,T
176.8,127,132.04,1
150.41,149.19,133.59,1
148.71,154.56,127.44,1
139.73,146.36,134.36,1
158.73,141.18,107.7,1
135.58,126.29,123.69,1
128.77,129.6,125.3,1
124.41,131.61,113.28,1
121.81,124.74,118.96,1
127.14,122.08,114.99,1
155.9,126.82,48.281,2
117.9,111.15,100.54,2
104.21,133.81,88.468,2
112.76,104.15,84.461,2
102.38,108.36,89.513,2
90.035,98.577,102.12,2
92.265,92.951,102.48,2
91.838,99.537,94.74,2
113.85,100.24,68.448,2
97.042,92.896,89.261,2
149.12,145.67,138.01,3
158.83,136.42,109.73,3
134.09,131.35,138.15,3
139.98,132.01,128.29,3
147.74,118.98,97.578,3
124.34,121.54,117.44,3
132.55,114.84,108.07,3
136.1,108.51,103.93,3
123.88,112.9,104.35,3
160.6,116.31,63.771,3
88.202,100.71,71.766,4
102.86,84.298,71.984,4
89.521,92.482,76.223,4
89.9,86.854,76.88,4
84.453,74.342,76.663,4
